field_name,hcfa_box,field_requirement,short_description,likely_source,primary_need,additional_note,phase_or_revenue_cycle,cm_system_extract_requirement,case_management_system,program,state,frequency_of_data_transfer,source,author
Rsvd for NUCC Use,30,Other: Not used currently but reserved for future use or custom use.,Formerly used for balance due,RCM Module,Billing,"Not applicable, this has been deprecated (thanks God).",Back,No,,,CA,By Encounter,csv,System Import
Prior Authorization Number,23,Alwayss,Authorization or referral number,RCM Module,Billing,"A PA number is essential for certain claims submission, and attaching a PA number and ensuring that claims are only submitted during active dates for PA is something that a billing module in concert with a PA tracking module can manage.",Back,No,,,CA,Period Dependent,csv,System Import
Resubmission Code & Original Ref #,22,Dependent: Based on claim resubmission status: use code “7” (replacement) or “8” (void).,When resubmitting a corrected claim,RCM Module,Billing,This is a field that can be placed by a back-end billing module or solution through the post-submission adjudication process.,Back,No,,,CA,By Encounter,csv,System Import
Outside Lab?,20,Other: If services billed were done by an outside lab.,Check if an external lab performed the test,,Billing,Not required,Back,No,,,CA,By Encounter,csv,System Import
Additional Claim Info,19,Other: Payer-specific; used frequently for Medicare or compounding drugs.,"Notes to payer, drug info, investigational use, etc.",,Billing,Not required,Back,No,,,CA,By Encounter,csv,System Import
Hospitalization Dates,18,Other: Required if services relate to inpatient stay.,Admission and discharge dates,"Intake, Service Notes","Billing, Service Delivery","This is not a required field for ECM, CS or CHW billing, though is a helpful piece of data to capture and may be required at a future data for Post Hospitalization Medical Respite Care. At this point we would recommend capturing this date",Middle,No,,,CA,By Encounter,csv,System Import
Referring Provider NPI,17b,Dependent: Required if Box 17 is completed.,National Provider Identifier of referring provider,"Admin Panel, Case Management System",Billing,"Linked to the “referring provider name” this is not a required field for ECM, CS, or CHW billing at present, but is likely an important field to capture for analytics or performance tracking purposes.",Back,No,,,CA,By Encounter,csv,System Import
Qualifier & ID (non-NPI),17a,Other: Rare; mostly phased out.,Legacy ID if required by payer,"Admin Panel, Case Management System",Billing,"Not necessary, this is a deprecated field by nearly all payers",Back,No,,,CA,One-Time,csv,System Import
Referring Provider Name,17,"Dependent: primarily for labs, imaging, therapy, specialist visits.",Required when a referral or order is involved,"Admin Panel, Case Management System","Billing, Service Delivery","This is likely unnecessary for claiming purposes, though would represent a leading practice for care coordination and could be useful for analytics purposes (e.g. tracking referral sources) or operational compliance (e.g. “closed loop referral” completions).",Back,No,,,CA,By Encounter,csv,System Import
Dates Unable to Work,16,Dependent: For disability claims or work-related injuries.,If patient was unable to work due to condition,"Intake, Service Notes","Billing, Service Delivery","This is a dependent field that is required for disability claims or worker’s comp claims, though it could be collected at either intake or in clinical notes depending on when an injury occurs. It may be best practice to include this as a “gated” value that is available only if a previous field related to a disability has been activated.",Back,No,,,CA,Period Dependent,csv,System Import
Other Date,15,Other: Based on payer rules or specific CPT/ICD usage.,"Additional relevant dates (e.g., same/similar illness)",Case Management System,"Billing, Service Delivery","Box 15 captures a secondary date related to the patient's condition or treatment history AND an explanation of what that date is. The explanation, on a claim form is a three-digit code which corresponds to a common set of reasons that can be pre-populated in a drop-down menu (e.g. “Initial Treatment”, “Accident date”, “Last X-Ray”)",Back,No,,,CA,By Encounter,csv,System Import
Is Condition Related To...,10a–c,Dependent: Required for workers’ comp or accident-related claims.,"Indicates whether services were due to employment, auto accident, or other accident",Intake,"Billing, Service Delivery","This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes. It is also required for any worker’s compensation claims or any accident-related claims.",Front,No,,,CA,By Encounter,csv,System Import
Insurance Plan Name or Program,9d,Dependent: If Box 9 is completed.,Full name of secondary plan,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,,CA,Period Dependent,csv,System Import
Employer/School Name of Other Insured,9c,Dependent: If Box 9 is completed.,If secondary insurance is through employer/school,Intake,Billing,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes",Front,No,,,CA,By Patient,csv,System Import
Other Insured’s DOB & Sex,9b,Dependent: If Box 9 is completed.,Date of birth and sex of secondary insured,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,,CA,By Patient,csv,System Import
Other Insured’s Policy/Group Number,9a,Dependent: If Box 9 is completed.,Policy number of secondary insurance,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,,CA,By Patient,csv,System Import
Other Insured’s Name,9,Dependent: If the patient has secondary insurance.,Name of additional policyholder,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,Enhanced Care Management,CA,By Patient,csv,System Import
Patient Status,8,Other: Some payers may require for coordination of benefits.,Marital status and employment/school status,Intake,"Billing, Service Delivery","This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes",Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Service Provided,CPT Code Alternate,Alwayss,Consistent code that can be translated/customized by payer,Service Notes,"Billing, Service Delivery","We have seen drop-down menus for services (e.g. “clinical team consultation” or “individual patient session”) work well. There can be multiple menus attached to the “Program” that the patient or client is enrolled in (e.g. ECM, or Housing Transition and Navigation Services). These values can then be matched against billing codes, modifiers, and rates on the back end for claims submission.",Middle,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Encounter,csv,System Import
Billing Provider NPI,33a,Alwayss,National Provider Identifier.,"Admin Panel, RCM Module",Billing,This will be the information for whomever your billing provider is (e.g. if it is the Co-Lab it would be our NPI and service address),Back,No,,,,One-Time,csv,System Import
Billing Provider Info,33,Alwayss,"Name, address, phone number.","Admin Panel, RCM Module",Billing,This will be the information for whomever your billing provider is (e.g. if it is the Co-Lab it would be our NPI and service address),Back,No,,,,One-Time,csv,System Import
Date(s) of Service,24A,Alwayss,Start date MM/DD/YYYY,Service Notes,"Billing, Service Delivery","We will need to affix a data of service to any qualifying “encounter” whether its a phone call to patient / client, a consultation with another clinician, etc… These individual service dates may not be required for billing purposes now, but may be needed at a future date, and are necessary for audit purposes (for example, CCAH is now requiring evidence of at least two patient encounters / billing month for housing transition and navigation services).",Middle,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Encounter,csv,System Import
Patient’s Account Number,26,Alwayss,Unique CCS system identifier for matching clinical and billing data,Case Management System,Billing,Unique CCS system identifier for matching clinical and billing data,Front,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Amount Paid,29,Alwayss,If any prior payments received.,RCM Module,Billing,"This would be applicable to any claims that have been “partially paid” and the claim is being resubmitted for either the remainder of the balance or some additional fees attached to the same encounter. This is a function that should be managed by a billing module, or RCM solution.",Back,No,,,CA,By Encounter,csv,System Import
Service Facility Location,32,Alwayss,Address where service was delivered,"Admin Panel, Case Management System",Billing,This would be the address for each corresponding POS code,Back,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,One-Time,csv,System Import
Diagnosis Codes,21,Alwayss,ICD-10 codes (up to 12); use letters (A-L) to link to services.,"Intake, SDOH Screener","Billing, Service Delivery","For ECM and CS services, this needs to ultimately be submitted as as “Z-Code” which is based on a social determinant of health as opposed to a traditional clinical health diagnosis. Z-Codes Z-55-65 cover the acceptable Dx codes for ECM and CS service delivery (e.g. Z59.00 = homeless, unspecified, Z59.01 = Sheltered Homeless). An SDOH or HRSN screener will be the best source of these diagnosis codes. This Dx data is needed for both claiming, and also in certain cases (e.g. some ECM patients without a referral and all CS services) for prior authorization submission.",Front,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Encounter,csv,System Import
Federal Tax ID,25,Alwayss,EIN or SSN of billing entity.,Admin Panel,Billing,"This is the EIN / SSN of the provider facility (in this case, DOH as they hold the contract)",Back,No,,,CA,One-Time,csv,System Import
Signature of Provider,31,Alwayss,Indication that signature is on file (Y / N),Admin Panel,Billing,This can likely be collected at the start / end of a providers employment period and kept in an Admin panel,Back,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,One-Time,csv,System Import
NPI of Service Facility,32a,Alwayss,Required if different from billing.,"Admin Panel, RCM Module",Billing,This will be the service facility that DSS primarily uses and will be populated on each claim as the NPI will be different from DOH.,Back,No,,,,One-Time,csv,System Import
Insured's Signature,13,Alwayss,Indication that signature is on file (Y / N),Intake,Billing,"Required if the patient / client is not the insured individual (this likely will not be the case for Medi-Cal patients as eligibility is individually determined, but should still be an accessible field.",Front,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Period Dependent,csv,System Import
Diagnosis Pointer,24E,Alwayss,"Letter(s) from Box 21 (e.g., A, B).",RCM Module,Billing,The Dx pointer is where the claim indicates which procedure (HCPCS/CPT does) is associated with which diagnosis. Pointers are only required for service claims that have multiple diagnosis. Pointer logic should be handled by a billing module or RCM solution based on programmed logic.,Back,No,,,CA,By Encounter,csv,System Import
Date of Current Illness/Injury,14,Alwayss,Required for certain CPTs or ICDs.,"Intake, Service Notes","Billing, Service Delivery","Depending on workflow considerations, this could be captured at the front end or in the middle in service notes. A best practice would be to capture it at patient / client registration, so that a prior authorization could be filed immediately for applicable services (e.g. ECM or CS patients without active prior auth)",Front,No,,,CA,By Encounter,csv,System Import
Procedure Code,24D,Alwayss,CPT/HCPCS code + any required modifiers.,"Contract Details, RCM Module",Billing,Qualifying CPT / HCPCS codes and modifiers should be attached to claims based on the details included in the signed provider agreement. Codes will be attached to individual claims files based on the patient / clients active Prior Authorization status and service notes.,Back,No,,,CA,By Encounter,csv,System Import
Total Charge,28,Alwayss,Sum of all charges from Box 24F.,RCM Module,Billing,This is a back-end billing module or RCM solution that calculates the charges across multiple procedures (if the claim includes multiple HCPCS / CPT codes) and affixes the total into the correct claim field (box 28),Back,No,,,CA,By Encounter,csv,System Import
Accept Assignment?,27,Alwayss,Check YES to receive payment from insurer.,Admin Panel,Billing,"This will likely always be a “Yes” and is the provider (in this case DOH), telling the payer that they will accept the payers allowed rates, or those outlined in the contract.",Back,No,,,CA,One-Time,csv,System Import
Place of Service Code,24B,Alwayss,2-digit location code,Service Notes,Billing,"There are likely only two options for this code (e.g. 04 = Homeless Shelter, 27 = Outreach site / street). It is essential that we collect this correctly though, so an option of location should be included for each service note (this also has implications on remote v in person which is specifically captured in another field)",Middle,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Encounter,csv,System Import
Units,24G,Alwayss,Unit calculations may vary by service (see notes),Service Notes,"Billing, Service Delivery","CHW is billed based on a count of 30 minute work unit blocks, Housing Navigation and Tenancy Support is based on a count of any qualifying encounter, tracking ECM “minutes” also represents a leading practice and would be our recommended approach.",Middle,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Encounter,csv,System Import
Charges,24F,Alwayss,Fee for each service line.,"Contract Details, RCM Module",Billing,Valid CPT codes will be cross-walked with contractually identified rates and claims will be submitted with valid fees attached. This is a function managed by a billing module or RCM solution.,Back,No,,,CA,By Encounter,csv,System Import
Patient's Signature,12,Alwayss,Indication that signature is on file (Y / N),Intake,Billing,This is a Yes / No answer that will be collected at intake and will need to be re-authorized annually.,Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Period Dependent,csv,System Import
Other Insured’s Name,9,Alwayss,If patient has other coverage.,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Insured’s Policy Group or FECA #,11,Alwayss,Group/policy number of primary insurance.,Case Management System,Billing,"There are no group policy numbers for Medi-Cal, though this field should likely still exist for future flexibility.",Front,Yes,,,CA,Period Dependent,csv,System Import
Insured’s Address,7,Alwayss,Only required if different from patient.,Case Management System,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Employer/School Name,11b,Alwayss,If applicable.,Intake,Billing,"This is likely not required for any Medi-Cal patient, though it could be helpful data to capture for general care coordination / analytics purposes. It is also required for any worker’s compensation claims or any accident-related claims.",Front,No,,,CA,By Patient,csv,System Import
Insurance Plan Name or Program,11c,Alwayss,Full name of the plan.,Intake,Billing,"Similar to other patient / client demographics, validating this information at intake through an eligibility check with the payers database would be a leading practice and a recommended approach.",Front,No,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Period Dependent,csv,System Import
Insured’s DOB & Sex,11a,Alwayss,If different from patient.,Intake,Billing,Medi-Cal eligibility is based on the individual thought we should discuss whether there are cases in which this could be a relevant field,Front,No,,,CA,By Patient,csv,System Import
Patient’s Address,5,Alwayss,"Street, city, state, ZIP.",Intake,Billing,Any known address. Need alternate for housing agencies,Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Insured's Name,4,Alwayss,If different from patient.,Intake,Billing,Medi-Cal eligibility is based on the individual so this likely won’t apply to your patients / clients though we may want to include this as a field in intake forms.,Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Patient Relationship to Insured,6,Alwayss,"Self, Spouse, Child, Other.",Intake,Billing,"Will always be “self” for Medi-Cal, though we may want to discuss scenarios in which having additional options could be beneficial.",Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Insured’s ID Number,1a,Alwayss,"Payer-assigned ID (e.g., Medicare HICN or MBI, Medicaid ID).",Intake,"Billing, Service Delivery","This is a vital piece of information and with the correct integration, this can be instantly checked against an eligibility database to confirm, which would be our suggested approach",Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Period Dependent,csv,System Import
Insurance Type,1,Alwayss,"Type of health insurance (e.g., Medicare, Medicaid, Other).",Admin Panel,Billing,"This will likely only be Medicaid, though having an option for Medicare would likely be wise, though the default value should be “Medicaid (e.g. Medi-Cal or another state Medicaid plan). This field can also be automatically populated based on the results of an eligibility check.",Front,No,,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,Period Dependent,csv,System Import
Patient's DOB,3,Alwayss,Format MM/DD/YYYY,Intake,"Billing, Service Delivery",Checking this at the point of registration against the payer’s eligibility database would represent a best practice and would be our recommendation,Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
Patient's Name,2,Alwayss,"Last name, first name, middle initial.",Intake,"Billing, Service Delivery",Checking this at the point of registration against the payer’s eligibility database would represent a best practice and would be our recommendation,Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
